id,nom,prenom,classe,fraisInscription
195,Gaudin,Noël,GI1,4000
196,Schneider,Benoît,GI2,4500
197,Bonnet,Anastasie,GI2,5500
198,Moulin,Guy,GI2,4500
199,Marchand,Frédérique,IRT2,6000
200,Hamel,Georges,GE1,3500
201,Joseph,Alexandrie,GC2,4500
202,Pages,Martin,GC1,5000
203,Letellier,Catherine,GI1,4500
204,Maury,Andrée,GI3,3500
205,Roussel,Anouk,GC1,3500
206,Baudry,Thierry,GE2,4500
207,Leroy,Luce,GI1,4500
208,Foucher,Geneviève,GE1,3500
209,Chauvin,Christine,GE2,5500
210,Samson,Caroline,GE2,5500
211,Besnard,Stéphanie,GI1,4000
212,Le Goff,Alex,GC1,4500
213,Launay,Capucine,GC2,5000
214,Camus,Lucas,GI3,5500
215,Gosselin,Hélène,GE2,4000
216,Blanc,Arthur,GC1,5500
217,Gomez,Étienne,GE2,6000
218,Garcia,Clémence,GC2,3500
219,Merle,Alain,GI2,3500
220,Colas,Capucine,GI2,4000
221,Allain,Alexandrie,GI1,6000
222,Ledoux,Inès,GC2,6000
223,Blondel,Thomas,GC1,4500
224,Pierre,Maggie,GI3,4000
225,Hebert,Gilles,GI1,5000
226,Pereira,Thibaut,GC2,5000
227,Chevalier,Colette,IRT1,6000
228,Arnaud,Hortense,GC1,3500
229,Voisin,Marie,GC2,6000
230,Richard,Michelle,GI3,3500
231,Roux,Timothée,GI2,6000
232,Perez,Sophie,GI3,4000
233,Clerc,Stéphane,GE2,5000
234,Rossi,Maggie,GI3,5000
235,Bonnet,Maurice,GE2,3500
236,Munoz,René,IRT1,6000
237,Coulon,Françoise,IRT2,5000
238,Bouvet,Georges,GI1,4500
239,Guyot,Aurore,IRT2,4000
240,Denis,Christiane,GI3,4500
241,Chartier,Corinne,GC1,4500
242,Pasquier,Catherine,IRT2,4000
243,Guilbert,Véronique,IRT2,4500
244,Guilbert,Théophile,GE2,4000
245,Garnier,Roger,GE2,5000
246,Rousseau,Aurélie,IRT2,5000
247,Fournier,Hélène,GI3,4000
248,Marchal,Valentine,GC2,5500
249,Deschamps,Suzanne,IRT2,5000
250,Munoz,Charles,GI2,3500
251,Gosselin,Anastasie,IRT1,4000
252,Alexandre,Emmanuel,GC2,4000
253,Petitjean,Hugues,IRT2,4500
254,Pons,Pauline,GE2,4000
255,Cohen,Margot,IRT2,5500
256,David,Philippine,GI2,3500
257,Maillot,Christiane,GE2,3500
258,Boutin,Véronique,GC1,4000
259,Laine,Rémy,GI3,4500
260,Robin,Augustin,GI2,5500
261,Fernandes,Christelle,IRT2,5500
262,Fournier,Matthieu,GC1,4500
263,Didier,Benjamin,GC1,3500
264,Ollivier,Madeleine,IRT2,5500
265,Dufour,Simone,GE2,4500
266,Loiseau,Anaïs,GC1,3500
267,Gilbert,Nath,GI2,4500
268,Guichard,Célina,GC1,5500
269,Lacroix,Virginie,GI1,5500
270,Gomes,Frédérique,GC2,5000
271,Leblanc,Joséphine,GE1,3500
272,Baudry,Dorothée,GI3,4000
273,Fischer,Antoine,GI1,3500
274,Petitjean,Augustin,GC2,4000
275,Lecoq,Claude,GE2,5000
276,David,Anne,GI1,4500
277,Nicolas,Sylvie,GE1,4500
278,Humbert,Augustin,GE2,6000
279,Teixeira,Monique,IRT1,6000
280,Pons,Franck,GC2,3500
281,Roussel,Josette,GI1,6000
282,Gimenez,Christophe,GE1,3500
283,Tessier,Maurice,GC1,5000
284,Camus,Joséphine,GI2,4000
285,Grégoire,Émile,GI3,3500
286,Dupont,Laurent,GI1,4000
287,Mercier,Richard,GE1,6000
288,Duval,Daniel,GE1,5000
289,De Oliveira,Marthe,GC2,4000
290,Hoarau,Anaïs,GI2,6000
291,Payet,Denis,GI1,6000
292,Carpentier,Élodie,GE1,4500
293,Petit,Yves,IRT1,4500
294,Lemaître,Philippine,GE2,5000
295,Da Costa,Emmanuel,GC1,6000
296,Fernandes,Alphonse,GE1,3500
297,Fournier,Sébastien,IRT2,4500
298,Martel,Susanne,GC2,5500
299,Valette,Robert,GE1,4000
300,Hoareau,Margot,GC2,6000
